	Original	Predicted
0	1	1
1	0	0
2	0	0
3	1	1
4	0	1
5	0	1
6	0	0
7	0	0
8	1	1
9	1	0
10	1	1
11	1	1
12	0	0
13	1	0
14	0	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	0
21	1	1
22	1	1
23	0	0
24	1	1
25	1	1
26	1	1
27	0	0
28	1	0
29	0	0
30	1	1
31	1	1
32	1	1
33	1	1
34	1	1
35	1	1
36	1	1
37	1	1
38	1	1
39	1	1
40	0	0
41	1	0
42	1	0
43	1	1
44	1	0
45	1	1
46	1	1
47	1	1
48	1	1
49	0	1
50	1	1
51	1	1
52	0	0
53	1	1
54	1	1
55	1	1
56	0	0
57	1	1
58	1	1
59	0	0
60	1	1
61	1	1
62	1	0
63	1	1
64	1	1
65	1	1
66	0	1
67	1	1
68	1	1
69	1	1
70	1	1
71	1	1
72	1	1
73	1	1
74	1	0
75	0	1
76	1	1
77	1	1
78	1	1
79	0	0
80	1	1
81	1	1
82	1	1
83	1	1
84	1	0
85	1	1
86	1	1
87	1	1
88	0	0
89	1	1
90	1	1
91	1	1
92	1	1
93	1	1
94	1	1
95	1	1
96	1	1
97	1	1
98	0	0
99	0	0
100	0	0
101	0	0
102	0	1
103	1	1
104	0	0
105	1	0
106	0	0
107	1	1
108	1	1
109	1	1
110	0	0
111	0	1
112	1	1
113	1	1
114	1	1
115	1	1
116	1	1
117	0	1
118	1	1
119	1	0
120	1	1
121	1	1
122	1	1
123	0	0
124	1	1
125	1	1
126	1	1
127	1	1
128	1	1
129	1	1
130	1	1
131	1	1
132	1	1
133	1	1
134	0	0
135	1	1
136	1	1
137	1	1
138	0	0
139	1	1
140	1	1
141	1	1
142	0	0
143	0	0
144	0	0
145	1	0
146	1	1
147	0	0
148	1	1
149	1	1
150	0	0
151	1	0
152	1	1
153	0	0
154	1	1
155	1	0
156	0	0
157	0	0
158	1	1
159	1	1
160	1	1
161	1	0
162	0	1
163	0	1
164	1	1
165	0	0
166	1	1
167	0	0
168	1	1
169	1	1
170	1	1
171	1	0
172	1	1
173	1	1
174	1	1
175	1	1
176	1	1
177	1	1
178	1	1
179	1	0
180	1	1
181	0	0
182	1	1
183	0	0
184	1	1
185	0	1
186	0	0
187	1	0
188	1	1
189	1	0
190	1	1
191	1	0
192	1	1
193	0	1
194	1	1
195	1	1
196	1	1
197	1	1
198	1	1
199	1	1
